lock,threads,iterations,run,executionTimeMs,totalBids,expectedBids,finalHighestBid,avgWaitNs,minBidsWon,maxBidsWon
TTAS,2,20000,1,25.005,40000,40000,40000.0,719.6,20000,20000
TTAS,2,20000,2,16.411,40000,40000,40000.0,413.8,20000,20000
TTAS,2,20000,3,6.225,40000,40000,40000.0,139.0,20000,20000
CLH,2,20000,1,30.105,40000,40000,40000.0,786.3,20000,20000
CLH,2,20000,2,23.403,40000,40000,40000.0,625.9,20000,20000
CLH,2,20000,3,12.427,40000,40000,40000.0,353.2,20000,20000
MCS,2,20000,1,22.694,40000,40000,40000.0,622.4,20000,20000
MCS,2,20000,2,10.923,40000,40000,40000.0,300.9,20000,20000
MCS,2,20000,3,10.556,40000,40000,40000.0,277.9,20000,20000
TTAS,4,20000,1,24.111,80000,80000,80000.0,949.2,20000,20000
TTAS,4,20000,2,25.210,80000,80000,80000.0,969.4,20000,20000
TTAS,4,20000,3,20.849,80000,80000,80000.0,802.8,20000,20000
CLH,4,20000,1,26.619,80000,80000,80000.0,1070.7,20000,20000
CLH,4,20000,2,23.613,80000,80000,80000.0,949.7,20000,20000
CLH,4,20000,3,24.503,80000,80000,80000.0,993.1,20000,20000
MCS,4,20000,1,24.523,80000,80000,80000.0,973.0,20000,20000
MCS,4,20000,2,26.447,80000,80000,80000.0,1077.7,20000,20000
MCS,4,20000,3,26.326,80000,80000,80000.0,1067.2,20000,20000
TTAS,8,20000,1,53.613,160000,160000,160000.0,2195.8,20000,20000
TTAS,8,20000,2,51.204,160000,160000,160000.0,2124.6,20000,20000
TTAS,8,20000,3,45.805,160000,160000,160000.0,1772.2,20000,20000
CLH,8,20000,1,57.963,160000,160000,160000.0,2628.3,20000,20000
CLH,8,20000,2,51.844,160000,160000,160000.0,2335.8,20000,20000
CLH,8,20000,3,58.716,160000,160000,160000.0,2655.9,20000,20000
MCS,8,20000,1,57.092,160000,160000,160000.0,2550.9,20000,20000
MCS,8,20000,2,62.474,160000,160000,160000.0,2860.8,20000,20000
MCS,8,20000,3,56.419,160000,160000,160000.0,2552.0,20000,20000
TTAS,16,20000,1,88.495,320000,320000,320000.0,3749.0,20000,20000
TTAS,16,20000,2,101.098,320000,320000,320000.0,3662.9,20000,20000
TTAS,16,20000,3,200.327,320000,320000,320000.0,9107.5,20000,20000
CLH,16,20000,1,122.524,320000,320000,320000.0,5806.6,20000,20000
CLH,16,20000,2,135.502,320000,320000,320000.0,6412.6,20000,20000
CLH,16,20000,3,134.979,320000,320000,320000.0,6416.9,20000,20000
MCS,16,20000,1,130.742,320000,320000,320000.0,6237.0,20000,20000
MCS,16,20000,2,127.088,320000,320000,320000.0,6053.6,20000,20000
MCS,16,20000,3,150.663,320000,320000,320000.0,7190.0,20000,20000
